,Start_Year,Semester,Major,CPI_Region3_rolling_std,Inflation_Rate_rolling_std_lag_1,Number_of_Applicants_lag_1,Number_of_Applicants_rolling_std,HFCE_Education_lag_1,HFCE_Education_rolling_std,HFCE_lag_1,HFCE_rolling_std,Previous_Semester,1st_Year_rolling_std_lag_1,TOTAL_lag_1,Department_PC1,Department_PC2,Major_PC1,Major_PC2,SHS-ABM_lag_1,SHS-GenAcad_lag_1,SHS-HUMSS_lag_1,SHS-STEM_lag_1,SHS-TVL-HE_lag_1,SHS-TVL-ICT_lag_1,Total_Previous_Semester_Students_lag_1,Percentage_Distribution_lag_1
0,2019,1,BA Comm,3.953966597209932,1.8592228657869374,354.0,219.73013751721365,174133.25,26990.830728578003,3312521.25,467027.9765869133,114.0,335.8586011999693,205.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,366.0,291.0,168.0,676.0,183.0,0.0,3355.0,3.397913561847988
1,2019,2,BA Comm,3.953966597209932,1.8592228657869374,354.0,219.73013751721365,174133.25,26990.830728578003,3312521.25,467027.9765869133,122.0,322.63653440572,241.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,279.0,127.0,139.0,678.0,184.0,0.0,3883.0,3.1419005923255217
2,2020,1,BA Comm,3.204932902169316,1.7969138909753553,450.0,678.4474924413812,188140.25,22655.82922602372,3572083.0,401720.78704578517,104.0,264.59591833586546,220.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,277.0,126.0,140.0,673.0,184.0,0.0,3623.0,2.8705492685619656
3,2020,2,BA Comm,3.204932902169316,1.7969138909753553,450.0,678.4474924413812,188140.25,22655.82922602372,3572083.0,401720.78704578517,68.0,258.05490371882746,251.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,263.0,184.0,172.0,629.0,141.0,0.0,2883.0,2.358654179673951
4,2021,1,BA Comm,2.3765988770135884,1.5012084295874601,404.0,668.7543146278241,170945.25,18971.55360269687,3369019.0,347674.9444448579,60.0,217.99999999999997,237.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,262.0,181.0,173.0,624.0,136.0,0.0,2636.0,2.2761760242792106
5,2021,2,BA Comm,2.3765988770135884,1.5012084295874601,404.0,668.7543146278241,170945.25,18971.55360269687,3369019.0,347674.9444448579,46.0,201.91830030980347,283.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,255.0,96.0,170.0,732.0,94.0,80.0,3081.0,1.4930217461863031
6,2022,1,BA Comm,1.6104641900419443,1.2499053464573608,239.0,713.5897514211729,187892.75,18281.951207862552,3652136.75,401563.6837846721,47.0,191.25985813372688,280.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,255.0,98.0,169.0,727.0,93.0,80.0,2823.0,1.664895501239816
7,2022,2,BA Comm,1.6104641900419443,1.2499053464573608,239.0,713.5897514211729,187892.75,18281.951207862552,3652136.75,401563.6837846721,46.0,180.30622100563616,257.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,286.0,56.0,147.0,710.0,75.0,72.0,3199.0,1.437949359174742
8,2023,1,BA Comm,383.8202541344012,1.5967743906340561,229.0,766.0876799253023,207865.5,22579.022427354994,4181261.25,523063.3847503741,49.0,152.85723186468252,259.0,-0.011830295790282917,-0.052974449229903436,-0.07797111185156934,-0.1838238727404157,283.0,53.0,141.0,711.0,72.0,70.0,2945.0,1.6638370118845502
