Start_Year,Semester,CPI_Region3_rolling_std,Inflation_Rate_rolling_std_lag_1,Number_of_Applicants_lag_1,Number_of_Applicants_rolling_std,HFCE_Education_lag_1,HFCE_Education_rolling_std,HFCE_lag_1,HFCE_rolling_std,1st_Year_lag_1,1st_Year_rolling_std_lag_1,TOTAL_lag_1,Department_PC1,Department_PC2,Major_PC1,Major_PC2,SHS-ABM_lag_1,SHS-GenAcad_lag_1,SHS-HUMSS_lag_1,SHS-STEM_lag_1,SHS-TVL-HE_lag_1,SHS-TVL-ICT_lag_1,Total_1st_Year_Students_lag_1,Percentage_Distribution_lag_1
2019,1,0,1.8592228657869374,1707,784.6247510753149,174133.25,26990.830728578003,3312521.25,467027.9765869133,695,4.04145188432643,993,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,364,294,170,677,186,0,3355,20.715350223546945
2019,2,0,1.8592228657869374,1707,784.6247510753149,174133.25,26990.830728578003,3312521.25,467027.9765869133,677,5.291502622122886,1486,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,366,291,168,676,183,0,3883,17.434972959052278
2020,1,0,1.7969138909753553,1536,721.407651747608,188140.25,22655.82922602372,3572083.0,401720.78704578517,647,5.291502622121715,1445,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,279,127,139,678,184,0,3623,17.85812862268838
2020,2,0,1.7969138909753553,1536,721.407651747608,188140.25,22655.82922602372,3572083.0,401720.78704578517,524,1.1547005383488942,1754,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,277,126,140,673,184,0,2883,18.175511619840442
2021,1,0,1.5012084295874601,1333,526.9430709289176,170945.25,18971.55360269687,3369019.0,347674.9444448579,502,8.326663997859582,1638,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,263,184,172,629,141,0,2636,19.044006069802734
2021,2,0,1.5012084295874601,1333,526.9430709289176,170945.25,18971.55360269687,3369019.0,347674.9444448579,455,9.45163125249952,1329,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,262,181,173,624,136,0,3081,14.767932489451477
2022,1,0,1.2499053464573608,962,469.0174126120817,187892.75,18281.951207862552,3652136.75,401563.6837846721,422,22.538855339166968,1208,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,255,96,170,732,94,80,2823,14.948636202621323
2022,2,0,1.2499053464573608,962,469.0174126120817,187892.75,18281.951207862552,3652136.75,401563.6837846721,422,15.885003409922527,1423,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,255,98,169,727,93,80,3199,13.191622381994373
2023,1,0,1.5967743906340561,871,496.08500615653855,207865.5,22579.022427354994,4181261.25,523063.3847503741,392,19.924858845168984,1372,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,286,56,147,710,75,72,2945,13.310696095076402
2023,2,0,1.5967743906340561,871,496.08500615653855,207865.5,22579.022427354994,4181261.25,523063.3847503741,343,12.165525060592655,1079,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,283,53,141,711,72,70,2899,11.831666091755778
2024,1,0,1.7570955395101397,926,2406.289536471729,230902.5,24688.299182718434,4652082.5,583819.1141009266,326,22.278539748674056,1137,-0.015028027779588834,-0.5152321766874614,0.028310819820021607,-0.023891053267127284,263,32,176,779,64,102,2661,12.251033446072904
